Dispatch_ID,Dispatch_Date,Expected_Delivery_Date,Actual_Delivery_Date,Yarn_Type,Denier,Packaging,Quantity,Spools_per_Unit,Spool_Weight_kg,Total_Weight_kg,Vendor_Name,Customer_Name,Destination_City,Vehicle_Number,Delivery_status,Delay_Reason,Cost_INR
D00011,19-06-2022,22-06-2022,22-06-2022,POY,300/72,Pallet,16,42,15,10080,Navsari Thread Co,Century Textiles,Navsari,GJ-96-X-9935,On Time,,20105.3
D00012,18-01-2023,22-01-2023,26-01-2023,FDY,600/288,Box,25,2,8,400,Modi Spinning Mills,Nahar Spinning,Silvassa,GJ-13-X-5506,Delayed,Vehicle Breakdown,16078.43
D00013,16-07-2024,17-07-2024,18-07-2024,POY,500/96,Pallet,12,42,15,7560,Patel Yarn Agency,JBF Industries,Pune,GJ-27-X-2679,Delayed,Weather,23710.28
D00014,07-04-2022,08-04-2022,11-04-2022,FDY,300/72,Box,11,2,8,176,Ahmedabad Fibre Works,Alok Industries,Silvassa,GJ-14-X-1488,Delayed,Alternate_Contact_Delivery,18069.11
D00015,16-07-2022,18-07-2022,18-07-2022,FDY,250/48,Box,12,2,8,192,Silvassa Fibre Co,Century Textiles,Vapi,GJ-13-X-5506,On Time,,22489.72
D00016,19-09-2024,20-09-2024,,POY,400/144,Pallet,12,42,15,7560,Silvassa Fibre Co,Century Textiles,Pune,GJ-91-X-2824,Failed,Weather,13020.81
D00017,14-03-2024,18-03-2024,18-03-2024,FDY,300/72,Box,30,2,8,480,Om Sai Yarn Traders,SRF Limited,Silvassa,GJ-87-X-1434,On Time,,8797.96
D00018,21-02-2022,26-02-2022,26-02-2022,POY,500/288,Pallet,12,42,15,7560,Hanuman Yarn Mills,Filatex India,Vapi,GJ-13-X-5506,On Time,,6602.23
D00019,22-08-2024,27-08-2024,27-08-2024,POY,300/72,Pallet,12,42,15,7560,Navsari Thread Co,Welspun Textiles,Ahmedabad,GJ-27-X-2679,On Time,,16673.45
D00020,10-02-2023,12-02-2023,15-02-2023,FDY,250/48,Box,13,2,8,208,Unknown,Raymond Fabrics,Vapi,GJ-27-X-2679,Delayed,Alternate_Contact_Delivery,16259.87
D00021,21-06-2024,22-06-2024,25-06-2024,FDY,250/48,Box,16,2,8,256,Silvassa Fibre Co,Alok Industries,Navsari,GJ-39-X-9279,Delayed,Route Issue,17233.56
D00022,12-08-2024,13-08-2024,,POY,400/144,Pallet,14,42,15,8820,Patel Yarn Agency,Vardhman Group,Surat,GJ-21-X-7912,Failed,Weather,8108.96
D00023,16-05-2023,19-05-2023,,POY,500/288,Pallet,16,42,15,10080,Gujarat Yarn Traders,Century Textiles,Ahmedabad,GJ-41-X-4657,Failed,Vehicle Breakdown,11671.13
D00024,14-03-2023,19-03-2023,19-03-2023,FDY,600/288,Box,27,2,8,432,Gujarat Yarn Traders,Bombay Dyeing,Surat,GJ-91-X-2824,On Time,,16650.19
D00025,22-09-2024,23-09-2024,25-09-2024,FDY,300/72,Box,30,2,8,480,Bhavna Textiles,Vardhman Group,Navsari,GJ-41-X-4657,Delayed,Weather,22494.25
D00026,21-06-2024,25-06-2024,25-06-2024,POY,500/96,Pallet,13,42,15,8190,Om Sai Yarn Traders,Trident Group,Surat,GJ-96-X-9935,On Time,,18398.14
D00027,12-06-2024,13-06-2024,15-06-2024,POY,250/48,Pallet,15,42,15,9450,Rajesh Spinning Co,Alok Industries,Navsari,GJ-27-X-2679,Delayed,Weather,22426.46
D00028,04-06-2024,05-06-2024,,FDY,300/72,Box,13,2,8,208,Surat Silk House,Filatex India,Silvassa,GJ-96-X-9935,Failed,Route Issue,15724.31
D00029,09-02-2022,10-02-2022,10-02-2022,POY,400/144,Pallet,14,42,15,8820,Surat Silk House,Trident Group,Surat,GJ-96-X-9935,On Time,,7312.92
D00030,17-06-2023,22-06-2023,28-06-2023,POY,300/72,Pallet,12,42,15,7560,Surat Silk House,Century Textiles,Silvassa,GJ-96-X-9935,Delayed,Weather,11604
D00031,01-12-2022,05-12-2022,10-12-2022,FDY,600/288,Box,18,2,8,288,Modi Spinning Mills,Century Textiles,Vapi,GJ-96-X-9935,Delayed,Weather,19962.69
D00032,08-11-2022,11-11-2022,11-11-2022,FDY,600/288,Box,5,2,8,80,Laxmi Fibre Industries,Reliance Industries,Vapi,GJ-21-X-4582,On Time,,13835.72
D00033,12-06-2023,17-06-2023,17-06-2023,POY,250/48,Pallet,14,42,15,8820,Rajesh Spinning Co,Nahar Spinning,Surat,GJ-21-X-4582,On Time,,8982.6
D00034,26-06-2024,01-07-2024,01-07-2024,POY,300/72,Pallet,15,42,15,9450,Om Sai Yarn Traders,Grasim Industries,Silvassa,GJ-14-X-1488,On Time,,
D00035,21-04-2023,22-04-2023,22-04-2023,POY,500/96,Pallet,16,42,15,10080,Hanuman Yarn Mills,Vardhman Group,Vapi,GJ-21-X-7912,On Time,,18351.55
D00036,02-07-2024,07-07-2024,07-07-2024,FDY,600/288,Box,28,2,8,448,Hanuman Yarn Mills,SRF Limited,Surat,GJ-96-X-9935,On Time,,22229.9
D00037,09-10-2022,13-10-2022,13-10-2022,FDY,600/288,Box,12,2,8,192,Patel Yarn Agency,Nahar Spinning,Surat,GJ-14-X-1488,On Time,,15803.04
D00038,01-03-2023,05-03-2023,05-03-2023,POY,500/96,Pallet,12,42,15,7560,Krishna Textile Suppliers,Century Textiles,Navsari,GJ-91-X-2824,On Time,,12789.54
D00039,23-08-2024,26-08-2024,26-08-2024,FDY,300/72,Box,5,2,8,80,Ahmedabad Fibre Works,Century Textiles,Pune,GJ-27-X-2679,On Time,,20997.36
D00040,30-01-2022,03-02-2022,03-02-2022,FDY,300/72,Box,20,2,8,320,Bhavna Textiles,Grasim Industries,Vapi,GJ-91-X-2824,On Time,,23390.83
D00041,10-11-2023,11-11-2023,11-11-2023,FDY,600/288,Box,23,2,8,368,Ahmedabad Fibre Works,Bombay Dyeing,Pune,GJ-21-X-7912,On Time,,10203.13
D00042,10-02-2024,14-02-2024,14-02-2024,FDY,300/72,Box,13,2,8,208,Unknown,JBF Industries,Navsari,GJ-13-X-5506,On Time,,24998.16
D00043,24-07-2022,25-07-2022,25-07-2022,POY,250/48,Pallet,13,42,15,8190,Modi Spinning Mills,Bombay Dyeing,Ahmedabad,GJ-21-X-7912,On Time,,23955.14
D00044,13-09-2024,14-09-2024,16-09-2024,POY,400/144,Pallet,16,42,15,10080,Gujarat Yarn Traders,Reliance Industries,Pune,GJ-27-X-2679,Delayed,Route Issue,18546.95
D00045,15-04-2022,18-04-2022,23-04-2022,POY,400/144,Pallet,13,42,15,8190,Laxmi Fibre Industries,Reliance Industries,Vapi,GJ-21-X-7912,Delayed,Vehicle Breakdown,13567.56
D00046,19-04-2022,23-04-2022,,POY,300/72,Pallet,15,42,15,9450,Om Sai Yarn Traders,Bombay Dyeing,Vapi,GJ-21-X-4582,Delayed,Alternate_Contact_Delivery,24309.47
D00047,30-08-2023,02-09-2023,02-09-2023,FDY,300/72,Box,28,2,8,448,Modi Spinning Mills,Raymond Fabrics,Navsari,GJ-14-X-1488,On Time,,20009.53
D00048,21-05-2024,24-05-2024,24-05-2024,FDY,250/48,Box,20,2,8,320,Modi Spinning Mills,Himatsingka Seide,Ahmedabad,GJ-39-X-9279,On Time,,22606.4
D00049,29-03-2022,31-03-2022,04-04-2022,POY,400/144,Pallet,13,42,15,8190,Om Sai Yarn Traders,JBF Industries,Surat,GJ-14-X-1488,Delayed,Weather,20858.66
D00050,13-01-2023,17-01-2023,17-01-2023,POY,500/288,Pallet,16,42,15,10080,Surat Silk House,Century Textiles,Ahmedabad,GJ-96-X-9935,On Time,,12036.21
D00051,20-11-2022,21-11-2022,28-11-2022,POY,250/48,Pallet,13,42,15,8190,Modi Spinning Mills,Pasupati Fabrics,Vapi,GJ-96-X-9935,Delayed,Weather,16791.74
D00052,21-08-2022,24-08-2022,24-08-2022,POY,500/96,Pallet,14,42,15,8820,Shree Ram Textiles,SRF Limited,Surat,GJ-21-X-4582,On Time,,6090.52
D00053,19-10-2022,23-10-2022,23-10-2022,POY,250/48,Pallet,16,42,15,10080,Surat Silk House,Garden Silk Mills,Silvassa,GJ-14-X-1488,On Time,,22234.46
D00054,07-10-2023,08-10-2023,08-10-2023,FDY,250/48,Box,23,2,8,368,Laxmi Fibre Industries,Reliance Industries,Pune,GJ-87-X-1434,On Time,,9963.82
D00055,07-04-2023,11-04-2023,11-04-2023,POY,400/144,Pallet,15,42,15,9450,Navsari Thread Co,Century Textiles,Surat,GJ-27-X-2679,On Time,,17192.62
D00056,10-06-2022,12-06-2022,12-06-2022,FDY,600/288,Box,7,2,8,112,Unknown,Garden Silk Mills,Surat,GJ-96-X-9935,On Time,,16876.22
D00057,14-03-2022,16-03-2022,,FDY,600/288,Box,19,2,8,304,Ahmedabad Fibre Works,Vardhman Group,Silvassa,GJ-91-X-2824,Failed,Weather,23168.23
D00058,06-02-2024,11-02-2024,,POY,500/288,Pallet,16,42,15,10080,Gujarat Yarn Traders,Alok Industries,Pune,GJ-21-X-4582,Delayed,Alternate_Contact_Delivery,23853.52
D00059,29-06-2024,03-07-2024,08-07-2024,POY,400/144,Pallet,12,42,15,7560,Shree Ram Textiles,Raymond Fabrics,Silvassa,GJ-96-X-9935,Delayed,Route Issue,22210.34
D00060,16-06-2023,20-06-2023,,POY,500/96,Pallet,15,42,15,9450,Navsari Thread Co,Century Textiles,Ahmedabad,GJ-21-X-7912,Failed,Weather,6824.85
D00061,26-02-2023,02-03-2023,02-03-2023,POY,500/96,Pallet,14,42,15,8820,Ahmedabad Fibre Works,SRF Limited,Pune,GJ-39-X-9279,On Time,,10047.98
D00062,28-02-2023,01-03-2023,01-03-2023,POY,400/144,Pallet,15,42,15,9450,Surat Silk House,Indo Rama Synthetics,Vapi,GJ-41-X-4657,On Time,,20199.81
D00063,12-05-2023,13-05-2023,13-05-2023,FDY,300/72,Box,27,2,8,432,Bhavna Textiles,Indo Rama Synthetics,Pune,GJ-13-X-5506,On Time,,11215
D00064,27-08-2024,28-08-2024,28-08-2024,POY,250/48,Pallet,15,42,15,9450,Silvassa Fibre Co,JBF Industries,Pune,GJ-21-X-4582,On Time,,19108.23
D00065,29-05-2022,02-06-2022,02-06-2022,POY,300/72,Pallet,16,42,15,10080,Navsari Thread Co,Filatex India,Pune,GJ-21-X-7912,On Time,,6396.2
D00066,14-01-2024,17-01-2024,22-01-2024,FDY,250/48,Box,14,2,8,224,Rajesh Spinning Co,Bombay Dyeing,Pune,GJ-21-X-4582,Delayed,Alternate_Contact_Delivery,11648.8
D00067,02-09-2022,07-09-2022,07-09-2022,FDY,250/48,Box,27,2,8,432,Rajesh Spinning Co,Century Textiles,Pune,GJ-41-X-4657,On Time,,19104.56
D00068,30-05-2023,04-06-2023,04-06-2023,FDY,250/48,Box,9,2,8,144,Gujarat Yarn Traders,Alok Industries,Navsari,GJ-41-X-4657,On Time,,5306.95
D00069,13-12-2022,18-12-2022,24-12-2022,POY,300/72,Pallet,14,42,15,8820,Rajesh Spinning Co,Trident Group,Navsari,GJ-21-X-4582,Delayed,Vehicle Breakdown,12600.19
D00070,29-08-2022,01-09-2022,,POY,400/144,Pallet,12,42,15,7560,Ahmedabad Fibre Works,Vardhman Group,Ahmedabad,GJ-91-X-2824,Failed,Vehicle Breakdown,7010.14
D00071,28-10-2022,31-10-2022,31-10-2022,POY,500/288,Pallet,12,42,15,7560,Silvassa Fibre Co,Nahar Spinning,Silvassa,GJ-87-X-1434,On Time,,20850.39
D00072,04-09-2022,08-09-2022,,FDY,600/288,Box,26,2,8,416,Modi Spinning Mills,Alok Industries,Pune,GJ-96-X-9935,Failed,Weather,18336.81
D00073,25-08-2024,28-08-2024,,POY,250/48,Pallet,15,42,15,9450,Bhavna Textiles,Century Textiles,Pune,GJ-13-X-5506,Failed,Route Issue,11042.43
D00074,03-01-2023,08-01-2023,08-01-2023,POY,300/72,Pallet,16,42,15,10080,Om Sai Yarn Traders,Sutlej Textiles,Navsari,GJ-91-X-2824,On Time,,
D00075,29-03-2024,31-03-2024,31-03-2024,FDY,300/72,Box,29,2,8,464,Surat Silk House,Nahar Spinning,Navsari,GJ-41-X-4657,On Time,,18555.29
D00076,18-03-2024,22-03-2024,22-03-2024,POY,250/48,Pallet,14,42,15,8820,Surat Silk House,Bombay Dyeing,Surat,GJ-39-X-9279,On Time,,19949.62
D00077,24-07-2024,27-07-2024,30-07-2024,FDY,600/288,Box,21,2,8,336,Laxmi Fibre Industries,Sutlej Textiles,Surat,GJ-27-X-2679,Delayed,Alternate_Contact_Delivery,7303.39
D00078,03-04-2022,07-04-2022,07-04-2022,FDY,600/288,Box,16,2,8,256,Vapi Yarn Depot,Vardhman Group,Navsari,GJ-21-X-7912,On Time,,18446.82
D00079,26-01-2022,31-01-2022,05-02-2022,POY,500/96,Pallet,15,42,15,9450,Hanuman Yarn Mills,Indo Rama Synthetics,Ahmedabad,GJ-14-X-1488,Delayed,Route Issue,21477.11
D00080,26-08-2024,27-08-2024,27-08-2024,POY,500/96,Pallet,12,42,15,7560,Krishna Textile Suppliers,Vardhman Group,Navsari,GJ-39-X-9279,On Time,,7713.28
D00081,15-01-2024,17-01-2024,23-01-2024,FDY,600/288,Box,28,2,8,448,Rajesh Spinning Co,JBF Industries,Surat,GJ-21-X-4582,Delayed,Vehicle Breakdown,10594.8
D00082,12-04-2022,15-04-2022,15-04-2022,FDY,250/48,Box,16,2,8,256,Bhavna Textiles,Himatsingka Seide,Pune,GJ-13-X-5506,On Time,,24364.14
D00083,21-02-2022,24-02-2022,24-02-2022,POY,400/144,Pallet,12,42,15,7560,Silvassa Fibre Co,Reliance Industries,Surat,GJ-21-X-7912,On Time,,16084.16
D00084,11-10-2022,13-10-2022,,POY,400/144,Pallet,12,42,15,7560,Laxmi Fibre Industries,Garden Silk Mills,Surat,GJ-87-X-1434,Failed,Route Issue,7636.06
D00085,29-09-2022,30-09-2022,30-09-2022,FDY,250/48,Box,10,2,8,160,Ahmedabad Fibre Works,Filatex India,Vapi,GJ-13-X-5506,On Time,,13965.5
D00086,26-08-2024,31-08-2024,31-08-2024,FDY,600/288,Box,12,2,8,192,Laxmi Fibre Industries,Filatex India,Pune,GJ-14-X-1488,On Time,,5623.01
D00087,17-03-2022,18-03-2022,18-03-2022,POY,300/72,Pallet,15,42,15,9450,Silvassa Fibre Co,Raymond Fabrics,Pune,GJ-87-X-1434,On Time,,16707.29
D00088,12-09-2023,16-09-2023,16-09-2023,FDY,300/72,Box,21,2,8,336,Om Sai Yarn Traders,Vardhman Group,Surat,GJ-14-X-1488,On Time,,20379.25
D00089,14-12-2022,18-12-2022,18-12-2022,FDY,250/48,Box,18,2,8,288,Om Sai Yarn Traders,Vardhman Group,Navsari,GJ-21-X-4582,On Time,,10097.8
D00090,06-04-2022,10-04-2022,10-04-2022,POY,250/48,Pallet,12,42,15,7560,Om Sai Yarn Traders,Himatsingka Seide,Ahmedabad,GJ-13-X-5506,On Time,,16729.3
D00091,21-08-2024,25-08-2024,31-08-2024,FDY,300/72,Box,26,2,8,416,Patel Yarn Agency,Indo Rama Synthetics,Pune,GJ-27-X-2679,Delayed,Vehicle Breakdown,15148.25
D00092,12-01-2023,13-01-2023,18-01-2023,POY,500/288,Pallet,16,42,15,10080,Laxmi Fibre Industries,Century Textiles,Navsari,GJ-39-X-9279,Delayed,Weather,21368.54
D00093,30-01-2022,01-02-2022,01-02-2022,POY,400/144,Pallet,14,42,15,8820,Laxmi Fibre Industries,Sutlej Textiles,Navsari,GJ-14-X-1488,On Time,,8628.11
D00094,04-04-2022,09-04-2022,09-04-2022,POY,500/96,Pallet,12,42,15,7560,Ahmedabad Fibre Works,Alok Industries,Vapi,GJ-87-X-1434,On Time,,19431.92
D00095,11-06-2022,16-06-2022,16-06-2022,POY,250/48,Pallet,13,42,15,8190,Gujarat Yarn Traders,Indo Count Industries,Surat,GJ-39-X-9279,On Time,,17141.52
D00096,24-04-2022,27-04-2022,02-05-2022,POY,500/288,Pallet,15,42,15,9450,Vapi Yarn Depot,Sutlej Textiles,Ahmedabad,GJ-27-X-2679,Delayed,Alternate_Contact_Delivery,
D00097,02-12-2022,03-12-2022,03-12-2022,POY,500/288,Pallet,14,42,15,8820,Om Sai Yarn Traders,Century Textiles,Navsari,GJ-21-X-7912,On Time,,19073.43
D00098,23-03-2023,24-03-2023,24-03-2023,POY,300/72,Pallet,12,42,15,7560,Gujarat Yarn Traders,Trident Group,Silvassa,GJ-14-X-1488,On Time,,19189.98
D00099,31-03-2024,05-04-2024,05-04-2024,POY,500/288,Pallet,13,42,15,8190,Om Sai Yarn Traders,Himatsingka Seide,Vapi,GJ-13-X-5506,On Time,,9866.33
D00100,14-12-2022,16-12-2022,16-12-2022,FDY,300/72,Box,28,2,8,448,Silvassa Fibre Co,Raymond Fabrics,Ahmedabad,GJ-21-X-7912,On Time,,15199.04
D00101,30-05-2022,02-06-2022,02-06-2022,POY,500/96,Pallet,12,42,15,7560,Navsari Thread Co,Bombay Dyeing,Pune,GJ-21-X-4582,On Time,,8542.92
D00102,21-10-2023,26-10-2023,26-10-2023,FDY,600/288,Box,23,2,8,368,Bhavna Textiles,Trident Group,Ahmedabad,GJ-87-X-1434,On Time,,13844.16
D00103,17-03-2022,20-03-2022,20-03-2022,POY,500/288,Pallet,16,42,15,10080,Shree Ram Textiles,Welspun Textiles,Silvassa,GJ-87-X-1434,On Time,,17893.33
D00104,22-07-2023,23-07-2023,23-07-2023,FDY,300/72,Box,23,2,8,368,Laxmi Fibre Industries,Reliance Industries,Silvassa,GJ-21-X-4582,On Time,,14512.58
D00105,01-06-2023,03-06-2023,03-06-2023,POY,500/288,Pallet,12,42,15,7560,Om Sai Yarn Traders,Alok Industries,Ahmedabad,GJ-14-X-1488,On Time,,17196.11
D00106,05-09-2023,06-09-2023,12-09-2023,FDY,300/72,Box,26,2,8,416,Gujarat Yarn Traders,Trident Group,Navsari,GJ-87-X-1434,Delayed,Route Issue,10682.94
D00107,20-08-2023,22-08-2023,,POY,500/288,Pallet,12,42,15,7560,Bhavna Textiles,Grasim Industries,Navsari,GJ-21-X-7912,Failed,Route Issue,6694.38
D00108,24-10-2023,28-10-2023,28-10-2023,POY,400/144,Pallet,12,42,15,7560,Shree Ram Textiles,Himatsingka Seide,Surat,GJ-27-X-2679,On Time,,11834.65
D00109,30-10-2022,31-10-2022,31-10-2022,POY,500/96,Pallet,12,42,15,7560,Vapi Yarn Depot,Filatex India,Pune,GJ-41-X-4657,On Time,,20326.15
D00110,08-04-2024,10-04-2024,11-04-2024,POY,500/96,Pallet,16,42,15,10080,Surat Silk House,Nahar Spinning,Surat,GJ-39-X-9279,Delayed,Alternate_Contact_Delivery,20047.82
D00111,14-07-2024,16-07-2024,16-07-2024,POY,500/288,Pallet,15,42,15,9450,Navsari Thread Co,Alok Industries,Surat,GJ-27-X-2679,On Time,,12637.45
D00112,19-10-2023,23-10-2023,28-10-2023,POY,500/288,Pallet,12,42,15,7560,Om Sai Yarn Traders,Filatex India,Vapi,GJ-41-X-4657,Delayed,Vehicle Breakdown,20262.34
D00113,16-04-2024,20-04-2024,21-04-2024,FDY,250/48,Box,12,2,8,192,Shree Ram Textiles,Grasim Industries,Silvassa,GJ-21-X-7912,Delayed,Alternate_Contact_Delivery,24890.51
D00114,21-05-2022,22-05-2022,22-05-2022,POY,500/288,Pallet,13,42,15,8190,Rajesh Spinning Co,JBF Industries,Silvassa,GJ-13-X-5506,On Time,,19110.72
D00115,05-05-2024,07-05-2024,07-05-2024,POY,500/288,Pallet,13,42,15,8190,Om Sai Yarn Traders,Indo Rama Synthetics,Silvassa,GJ-27-X-2679,On Time,,10762.03
D00116,30-09-2023,04-10-2023,04-10-2023,FDY,600/288,Box,30,2,8,480,Rajesh Spinning Co,Unknown,Surat,GJ-96-X-9935,On Time,,15307.51
D00117,28-12-2022,30-12-2022,30-12-2022,FDY,250/48,Box,24,2,8,384,Silvassa Fibre Co,Raymond Fabrics,Vapi,GJ-39-X-9279,On Time,,24068.07
D00118,14-02-2022,18-02-2022,,POY,300/72,Pallet,15,42,15,9450,Om Sai Yarn Traders,Arvind Mills,Silvassa,GJ-87-X-1434,Failed,Route Issue,9822.52
D00119,27-12-2022,01-01-2023,01-01-2023,FDY,250/48,Box,6,2,8,96,Bhavna Textiles,Garden Silk Mills,Surat,GJ-41-X-4657,On Time,,24616.38
D00120,28-10-2022,30-10-2022,30-10-2022,POY,300/72,Pallet,12,42,15,7560,Modi Spinning Mills,Welspun Textiles,Pune,GJ-96-X-9935,On Time,,12964.48
D00121,01-01-2023,02-01-2023,05-01-2023,POY,500/96,Pallet,14,42,15,8820,Gujarat Yarn Traders,Himatsingka Seide,Ahmedabad,GJ-41-X-4657,Delayed,Route Issue,13794.73
D00122,12-01-2023,17-01-2023,17-01-2023,FDY,600/288,Box,20,2,8,320,Gujarat Yarn Traders,Century Textiles,Ahmedabad,GJ-13-X-5506,On Time,,21446.83
D00123,10-11-2022,14-11-2022,14-11-2022,POY,500/288,Pallet,14,42,15,8820,Ahmedabad Fibre Works,Garden Silk Mills,Ahmedabad,GJ-87-X-1434,On Time,,5847.1
D00124,21-03-2024,22-03-2024,22-03-2024,FDY,300/72,Box,25,2,8,400,Bhavna Textiles,Grasim Industries,Surat,GJ-87-X-1434,On Time,,18588.21
D00125,10-03-2022,12-03-2022,15-03-2022,FDY,250/48,Box,9,2,8,144,Ahmedabad Fibre Works,Reliance Industries,Pune,GJ-13-X-5506,Delayed,Route Issue,13998.45
D00126,12-02-2023,15-02-2023,15-02-2023,POY,400/144,Pallet,14,42,15,8820,Modi Spinning Mills,Vardhman Group,Silvassa,GJ-96-X-9935,On Time,,15354.91
D00127,08-08-2022,13-08-2022,13-08-2022,FDY,600/288,Box,19,2,8,304,Hanuman Yarn Mills,JBF Industries,Navsari,GJ-21-X-4582,On Time,,6481.04
D00128,28-12-2023,29-12-2023,29-12-2023,POY,500/288,Pallet,14,42,15,8820,Patel Yarn Agency,Sutlej Textiles,Ahmedabad,GJ-39-X-9279,On Time,,23546.49
D00129,22-03-2024,24-03-2024,24-03-2024,POY,250/48,Pallet,13,42,15,8190,Krishna Textile Suppliers,Arvind Mills,Surat,GJ-87-X-1434,On Time,,14348.12
D00130,12-02-2023,16-02-2023,16-02-2023,POY,250/48,Pallet,14,42,15,8820,Laxmi Fibre Industries,Century Textiles,Pune,GJ-21-X-4582,On Time,,24447.59
D00131,19-07-2023,24-07-2023,24-07-2023,FDY,250/48,Box,29,2,8,464,Silvassa Fibre Co,Century Textiles,Ahmedabad,GJ-41-X-4657,On Time,,21627.82
D00132,21-12-2022,26-12-2022,02-01-2023,POY,500/288,Pallet,13,42,15,8190,Patel Yarn Agency,Pasupati Fabrics,Vapi,GJ-13-X-5506,Delayed,Vehicle Breakdown,7503.41
D00133,07-06-2022,09-06-2022,15-06-2022,POY,400/144,Pallet,16,42,15,10080,Rajesh Spinning Co,Reliance Industries,Vapi,GJ-96-X-9935,Delayed,Route Issue,6624.46
D00134,25-09-2023,26-09-2023,26-09-2023,POY,400/144,Pallet,15,42,15,9450,Bhavna Textiles,SRF Limited,Navsari,GJ-14-X-1488,On Time,,14658.9
D00135,07-12-2023,08-12-2023,08-12-2023,FDY,300/72,Box,7,2,8,112,Ahmedabad Fibre Works,JBF Industries,Ahmedabad,GJ-21-X-7912,On Time,,7873.37
D00136,15-01-2023,20-01-2023,20-01-2023,FDY,250/48,Box,29,2,8,464,Surat Silk House,Nahar Spinning,Ahmedabad,GJ-14-X-1488,On Time,,9958.38
D00137,13-04-2024,16-04-2024,,FDY,250/48,Box,10,2,8,160,Modi Spinning Mills,Garden Silk Mills,Silvassa,GJ-13-X-5506,Failed,Route Issue,14975.19
D00138,16-09-2024,18-09-2024,18-09-2024,FDY,600/288,Box,19,2,8,304,Surat Silk House,Welspun Textiles,Pune,GJ-96-X-9935,On Time,,22646.79
D00139,18-05-2022,21-05-2022,28-05-2022,POY,250/48,Pallet,15,42,15,9450,Surat Silk House,Welspun Textiles,Silvassa,GJ-14-X-1488,Delayed,Alternate_Contact_Delivery,8893.11
D00140,25-04-2024,30-04-2024,01-05-2024,FDY,600/288,Box,13,2,8,208,Gujarat Yarn Traders,Grasim Industries,Surat,GJ-27-X-2679,Delayed,Weather,16156.64
D00141,16-02-2022,17-02-2022,17-02-2022,FDY,600/288,Box,6,2,8,96,Surat Silk House,JBF Industries,Vapi,GJ-21-X-7912,On Time,,22862.63
D00142,28-01-2024,31-01-2024,31-01-2024,POY,300/72,Pallet,16,42,15,10080,Vapi Yarn Depot,Filatex India,Ahmedabad,GJ-21-X-7912,On Time,,10995.81
D00143,12-11-2022,13-11-2022,13-11-2022,POY,300/72,Pallet,16,42,15,10080,Patel Yarn Agency,Reliance Industries,Navsari,GJ-87-X-1434,On Time,,16670.47
D00144,06-09-2022,07-09-2022,07-09-2022,FDY,250/48,Box,26,2,8,416,Om Sai Yarn Traders,Vardhman Group,Surat,GJ-14-X-1488,On Time,,13375.61
D00145,05-03-2022,07-03-2022,07-03-2022,FDY,600/288,Box,28,2,8,448,Vapi Yarn Depot,Trident Group,Pune,GJ-39-X-9279,On Time,,12536.5
D00146,24-11-2023,27-11-2023,27-11-2023,FDY,600/288,Box,16,2,8,256,Modi Spinning Mills,Nahar Spinning,Ahmedabad,GJ-27-X-2679,On Time,,23829.71
D00147,24-12-2022,29-12-2022,,FDY,300/72,Box,20,2,8,320,Patel Yarn Agency,Vardhman Group,Ahmedabad,GJ-41-X-4657,Failed,Route Issue,22915.21
